0.5 4.33594 1.0006
0.25 3.12929 0.722143
0.125 2.63818 0.608811
0.0625 2.41885 0.558197
0.03125 2.31549 0.534343
0.015625 2.26534 0.522772
0.0078125 2.24065 0.517074
0.00390625 2.2284 0.514247
0.00195312 2.2223 0.512839
0.000976562 2.21926 0.512136
0.000488281 2.21774 0.511785
0.000244141 2.21697 0.51161
0.00012207 2.2166 0.511522
6.10352e-05 2.21641 0.511478
3.05176e-05 2.21631 0.511456
1.52588e-05 2.21626 0.511445
7.62939e-06 2.21624 0.51144
3.8147e-06 2.21623 0.511438
1.90735e-06 2.21624 0.511441
9.53674e-07 2.21628 0.511449
4.76837e-07 2.21658 0.511519
2.38419e-07 2.21717 0.511654
1.19209e-07 2.22264 0.512917
5.96046e-08 2.22676 0.513868
