0 1.51475
0.1 1.31954
0.2 1.12569
0.3 0.943339
0.4 0.778755
0.5 0.635011
0.6 0.51259
0.7 0.410413
0.8 0.326458
0.9 0.258338
1 0.203598
1.1 0.159931
1.2 0.125316
1.3 0.0979921
1.4 0.0765104
1.5 0.0596622
1.6 0.0464811
1.7 0.0361862
1.8 0.0281538
1.9 0.0218957
2 0.0170223
2.1 0.0132296
2.2 0.0102801
2.3 0.00798706
2.4 0.00620455
2.5 0.00481937
2.6 0.00374306
2.7 0.00290702
2.8 0.00225767
2.9 0.00175326
3 0.00136147
3.1 0.00105724
3.2 0.000820972
3.3 0.000637515
3.4 0.000495036
3.5 0.000384387
3.6 0.000298476
3.7 0.000231765
3.8 0.000179968
3.9 0.000139743
4 0.000108509
4.1 8.42558e-05
4.2 6.54217e-05
4.3 5.08002e-05
4.4 3.94446e-05
4.5 3.06288e-05
4.6 2.37828e-05
4.7 1.84664e-05
4.8 1.43392e-05
4.9 1.11339e-05
5 8.64547e-06
5.1 6.71305e-06
5.2 5.21243e-06
5.3 4.04746e-06
5.4 3.1427e-06
5.5 2.44025e-06
5.6 1.89486e-06
5.7 1.47129e-06
5.8 1.14246e-06
5.9 8.87073e-07
6 6.88796e-07
6.1 5.34851e-07
6.2 4.15292e-07
6.3 3.22474e-07
6.4 2.50389e-07
6.5 1.94423e-07
6.6 1.50969e-07
6.7 1.17222e-07
6.8 9.10231e-08
6.9 7.0676e-08
7 5.48786e-08
7.1 4.26133e-08
7.2 3.30876e-08
7.3 2.56926e-08
7.4 1.99493e-08
7.5 1.54907e-08
7.6 1.20282e-08
7.7 9.33945e-09
7.8 7.2521e-09
7.9 5.63098e-09
8 4.37246e-09
8.1 3.39514e-09
8.2 2.63626e-09
8.3 2.04696e-09
8.4 1.58942e-09
8.5 1.23419e-09
8.6 9.58326e-10
8.7 7.44123e-10
8.8 5.77783e-10
8.9 4.48638e-10
9 3.48368e-10
9.1 2.70501e-10
9.2 2.10039e-10
9.3 1.63088e-10
9.4 1.26635e-10
9.5 9.83319e-11
9.6 7.63529e-11
9.7 5.92866e-11
9.8 4.60338e-11
9.9 3.57444e-11
